2023-08-16 15:41:31.437 ,123,1,Init,Fail,initParam  Is Fail!
2023-08-16 15:42:48.419 ,132,1,Authentication,Fail,ResetDog Is Fail
2023-08-16 15:44:12.319 ,13,1,Authentication,Fail,ResetDog Is Fail
